,Amount missing,Persentage missing
"SympChck,CSC_48C",5,0.15413070283600494
"SympChck,CSC_29C",5,0.15413070283600494
"CBCL,CBCL_28",5,0.15413070283600494
"CBCL,CBCL_45",5,0.15413070283600494
"SympChck,CSC_05C",5,0.15413070283600494
"SRS,SRS_38",5,0.15413070283600494
"SympChck,CSC_03C",5,0.15413070283600494
"SRS,SRS_20",5,0.15413070283600494
"SympChck,CSC_34C",5,0.15413070283600494
"ASSQ,ASSQ_19",5,0.15413070283600494
"CBCL,CBCL_89",5,0.15413070283600494
"SRS,SRS_25",5,0.15413070283600494
"CBCL,CBCL_32",5,0.15413070283600494
"CBCL,CBCL_33",5,0.15413070283600494
"SRS,SRS_57",5,0.15413070283600494
"SCQ,SCQ_08",5,0.15413070283600494
"CBCL,CBCL_74",5,0.15413070283600494
"CBCL,CBCL_104",5,0.15413070283600494
"SDQ,SDQ_10",5,0.15413070283600494
"SDQ,SDQ_11",5,0.15413070283600494
"SDQ,SDQ_13",5,0.15413070283600494
"SympChck,CSC_13C",5,0.15413070283600494
"ASSQ,ASSQ_03",5,0.15413070283600494
"CBCL,CBCL_102",5,0.15413070283600494
"SRS,SRS_65",5,0.15413070283600494
"SympChck,CSC_01C",5,0.15413070283600494
"SDQ,SDQ_21",5,0.15413070283600494
"SCQ,SCQ_36",5,0.15413070283600494
"SCQ,SCQ_35",5,0.15413070283600494
"SCQ,SCQ_37",5,0.15413070283600494
"SympChck,CSC_49C",5,0.15413070283600494
"CBCL,CBCL_56E",5,0.15413070283600494
"SCQ,SCQ_32",5,0.15413070283600494
"SympChck,CSC_18C",5,0.15413070283600494
"CBCL,CBCL_58",5,0.15413070283600494
"CBCL,CBCL_57",5,0.15413070283600494
"CBCL,CBCL_108",5,0.15413070283600494
"CBCL,CBCL_56F",5,0.15413070283600494
"SWAN,SWAN_03",5,0.15413070283600494
"SympChck,CSC_19C",5,0.15413070283600494
"CBCL,CBCL_56G",5,0.15413070283600494
"ASSQ,ASSQ_07",4,0.12330456226880394
"SRS,SRS_30",4,0.12330456226880394
"SCQ,SCQ_01",4,0.12330456226880394
"SRS,SRS_33",4,0.12330456226880394
"CBCL,CBCL_04",4,0.12330456226880394
"SRS,SRS_62",4,0.12330456226880394
"SRS,SRS_36",4,0.12330456226880394
"ASSQ,ASSQ_14",4,0.12330456226880394
"SRS,SRS_40",4,0.12330456226880394
"SRS,SRS_41",4,0.12330456226880394
"SympChck,CSC_02C",4,0.12330456226880394
"SympChck,CSC_51C",4,0.12330456226880394
"CBCL,CBCL_17",4,0.12330456226880394
"CBCL,CBCL_93",4,0.12330456226880394
"CBCL,CBCL_43",4,0.12330456226880394
"SRS,SRS_07",4,0.12330456226880394
"SDQ,SDQ_20",4,0.12330456226880394
"SDQ,SDQ_02",4,0.12330456226880394
"SWAN,SWAN_07",4,0.12330456226880394
"SCQ,SCQ_25",4,0.12330456226880394
"SCQ,SCQ_20",4,0.12330456226880394
"SRS,SRS_02",4,0.12330456226880394
"ASSQ,ASSQ_27",4,0.12330456226880394
"CBCL,CBCL_50",4,0.12330456226880394
"SDQ,SDQ_26",4,0.12330456226880394
"SympChck,CSC_21C",4,0.12330456226880394
"SCQ,SCQ_23",4,0.12330456226880394
"SDQ,SDQ_09",4,0.12330456226880394
"CBCL,CBCL_72",4,0.12330456226880394
"SDQ,SDQ_18",4,0.12330456226880394
"SRS,SRS_17",4,0.12330456226880394
"SRS,SRS_18",4,0.12330456226880394
"SRS,SRS_19",4,0.12330456226880394
"SCQ,SCQ_40",4,0.12330456226880394
"SympChck,CSC_14C",4,0.12330456226880394
"CBCL,CBCL_38",4,0.12330456226880394
"ASSQ,ASSQ_02",4,0.12330456226880394
"CBCL,CBCL_62",3,0.09247842170160296
"CBCL,CBCL_97",3,0.09247842170160296
"CBCL,CBCL_106",3,0.09247842170160296
"CBCL,CBCL_34",3,0.09247842170160296
"CBCL,CBCL_54",3,0.09247842170160296
"CBCL,CBCL_78",3,0.09247842170160296
"SympChck,CSC_47C",3,0.09247842170160296
"CBCL,CBCL_56B",3,0.09247842170160296
"CBCL,CBCL_35",3,0.09247842170160296
"CBCL,CBCL_51",3,0.09247842170160296
"CBCL,CBCL_23",3,0.09247842170160296
"SympChck,CSC_46C",3,0.09247842170160296
"CBCL,CBCL_47",3,0.09247842170160296
"CBCL,CBCL_88",3,0.09247842170160296
"SympChck,CSC_31C",3,0.09247842170160296
"SympChck,CSC_40C",3,0.09247842170160296
"CBCL,CBCL_39",3,0.09247842170160296
"CBCL,CBCL_36",3,0.09247842170160296
"SympChck,CSC_12C",3,0.09247842170160296
"ASSQ,ASSQ_05",3,0.09247842170160296
"SRS,SRS_22",3,0.09247842170160296
"SCQ,SCQ_26",3,0.09247842170160296
"SWAN,SWAN_02",3,0.09247842170160296
"SRS,SRS_11",3,0.09247842170160296
"SWAN,SWAN_09",3,0.09247842170160296
"SRS,SRS_45",3,0.09247842170160296
"SCQ,SCQ_13",3,0.09247842170160296
"SCQ,SCQ_17",3,0.09247842170160296
"ASSQ,ASSQ_21",3,0.09247842170160296
"SRS,SRS_42",3,0.09247842170160296
"SRS,SRS_32",3,0.09247842170160296
"SRS,SRS_31",3,0.09247842170160296
"SRS,SRS_29",3,0.09247842170160296
"ASSQ,ASSQ_24",3,0.09247842170160296
"SCQ,SCQ_14",3,0.09247842170160296
"SRS,SRS_16",3,0.09247842170160296
"SRS,SRS_10",3,0.09247842170160296
"SRS,SRS_14",3,0.09247842170160296
"SRS,SRS_13",3,0.09247842170160296
"SRS,SRS_47",3,0.09247842170160296
"SRS,SRS_12",3,0.09247842170160296
"SDQ,SDQ_05",3,0.09247842170160296
"ASSQ,ASSQ_08",3,0.09247842170160296
"CBCL,CBCL_02",3,0.09247842170160296
"SDQ,SDQ_03",3,0.09247842170160296
"SCQ,SCQ_38",3,0.09247842170160296
"SRS,SRS_61",3,0.09247842170160296
"SRS,SRS_60",3,0.09247842170160296
"SDQ,SDQ_07",3,0.09247842170160296
"ARI_P,ARI_P_06",3,0.09247842170160296
"SCQ,SCQ_24",2,0.06165228113440197
"CBCL,CBCL_76",2,0.06165228113440197
"CBCL,CBCL_75",2,0.06165228113440197
"SRS,SRS_09",2,0.06165228113440197
"CBCL,CBCL_87",2,0.06165228113440197
"CBCL,CBCL_07",2,0.06165228113440197
"SRS,SRS_03",2,0.06165228113440197
"CBCL,CBCL_52",2,0.06165228113440197
