,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: No Diagnosis Given,Diag: Autism Spectrum Disorder,Diag: Oppositional Defiant Disorder,Diag: ADHD-Combined Type
43,"[0.8690476190476191, 0.7856, 0.781]","[0.8824985717006285, 0.8473, 0.8908]","[0.8920601381552214, 0.8224, 0.8]","[0.8545811229000884, 0.8102, 0.7708]","[0.9200890019071837, 0.8272, 0.8986]","[0.8861476097288229, 0.8775, 0.7534]","[0.8816452506928697, 0.8775, 0.7675]"
44,"[0.8690709617180206, 0.7856, 0.781]","[0.8916940990831678, 0.8643, 0.8908]","[0.8918325883787078, 0.8224, 0.8]","[0.8544153404067197, 0.7585, 0.8301]","[0.9187062937062936, 0.8454, 0.8846]","[0.8864795918367347, 0.8775, 0.7517]","[0.880983875031494, 0.8673, 0.7737]"
45,"[0.8697012138188609, 0.8142, 0.75]","[0.8824985717006285, 0.8473, 0.8908]","[0.8918325883787078, 0.8224, 0.8]","[0.8501878868258179, 0.8102, 0.7788]","[0.9186904005085823, 0.8454, 0.8846]","[0.886776628459603, 0.8775, 0.7534]","[0.8806899302931049, 0.8316, 0.8086]"
46,"[0.8706582633053221, 0.8999, 0.683]","[0.8824985717006285, 0.8473, 0.8908]","[0.8917675741568468, 0.813, 0.8087]","[0.8515694076038903, 0.8102, 0.7788]","[0.9189605848696758, 0.8454, 0.8864]","[0.886986301369863, 0.8775, 0.7534]","[0.8807634164777022, 0.8418, 0.8025]"
47,"[0.8712418300653595, 0.8142, 0.7516]","[0.8901161683488859, 0.8643, 0.8844]","[0.8918000812677773, 0.813, 0.8087]","[0.8519286030061892, 0.8102, 0.7772]","[0.9195804195804196, 0.8454, 0.8864]","[0.8871872379088622, 0.8775, 0.7551]","[0.8810888552952044, 0.8367, 0.8066]"
48,"[0.8712418300653595, 0.8142, 0.7516]","[0.8824985717006285, 0.8473, 0.8908]","[0.891783827712312, 0.813, 0.8087]","[0.8544429708222812, 0.8102, 0.7885]","[0.9196598855689765, 0.8454, 0.8881]","[0.8871872379088622, 0.8775, 0.7551]","[0.8808998908205258, 0.8367, 0.8045]"
49,"[0.8712885154061625, 0.8142, 0.75]","[0.8824985717006285, 0.8473, 0.8908]","[0.8918488419341731, 0.813, 0.8087]","[0.8552718832891246, 0.8102, 0.7933]","[0.9196598855689765, 0.8454, 0.8881]","[0.8871872379088622, 0.8775, 0.7551]","[0.8804904677920551, 0.8418, 0.8004]"
50,"[0.8729925303454715, 0.7571, 0.8088]","[0.8824985717006285, 0.8473, 0.8908]","[0.8916700528240552, 0.9158, 0.7183]","[0.8562389478337754, 0.8102, 0.782]","[0.9199618563254927, 0.8454, 0.8864]","[0.8876327928431647, 0.8775, 0.7603]","[0.8796191316032586, 0.8418, 0.7963]"
51,"[0.8737394957983193, 0.8428, 0.7255]","[0.8824985717006285, 0.8473, 0.8908]","[0.8916700528240552, 0.9158, 0.7183]","[0.8570678603006189, 0.8102, 0.7852]","[0.9199618563254927, 0.8454, 0.8864]","[0.8876327928431647, 0.8775, 0.7603]","[0.8783803644914756, 0.8418, 0.7963]"
52,"[0.8739962651727358, 0.7714, 0.7859]","[0.8824713659983132, 0.8473, 0.8892]","[0.89165379926859, 0.9158, 0.7183]","[0.8585599027409372, 0.8102, 0.7772]","[0.920057215511761, 0.8454, 0.8933]","[0.8878774112384681, 0.8265, 0.8065]","[0.8786113210716386, 0.8418, 0.7963]"
53,"[0.8744631185807656, 0.7428, 0.8186]","[0.8824985717006285, 0.8473, 0.8908]","[0.8916700528240552, 0.9158, 0.7183]","[0.8591677718832891, 0.8102, 0.782]","[0.9200731087094723, 0.8454, 0.8933]","[0.8881395023762929, 0.8877, 0.7483]","[0.8791362223901906, 0.8622, 0.7757]"
54,"[0.8762138188608777, 0.8428, 0.732]","[0.8824985717006285, 0.8473, 0.8908]","[0.89165379926859, 0.9158, 0.7183]","[0.8574823165340406, 0.8102, 0.7852]","[0.9186109345200254, 0.8454, 0.8846]","[0.8882093933463796, 0.8673, 0.7705]","[0.8791782144956748, 0.8418, 0.7901]"
55,"[0.8762138188608777, 0.8428, 0.732]","[0.8824985717006285, 0.8473, 0.8908]","[0.8916700528240552, 0.9158, 0.7183]","[0.86032824933687, 0.793, 0.7965]","[0.9186109345200255, 0.8454, 0.8846]","[0.8882268660889013, 0.8673, 0.7705]","[0.8794091710758377, 0.8418, 0.7901]"
56,"[0.8759803921568627, 0.857, 0.732]","[0.8824985717006285, 0.8473, 0.8908]","[0.89165379926859, 0.9158, 0.7183]","[0.8612124226348364, 0.793, 0.7965]","[0.918674507310871, 0.8454, 0.8864]","[0.8886462119094213, 0.8571, 0.7825]","[0.8798185941043084, 0.8418, 0.7901]"
57,"[0.8775676937441643, 0.8856, 0.7157]","[0.8824985717006285, 0.8473, 0.8908]","[0.8916700528240552, 0.9158, 0.7183]","[0.8611847922192749, 0.793, 0.7965]","[0.9183248569612207, 0.8454, 0.8864]","[0.8884714844842047, 0.8571, 0.7825]","[0.8800915427899554, 0.852, 0.7839]"
58,"[0.8781512605042017, 0.8856, 0.7173]","[0.8824985717006285, 0.8473, 0.8908]","[0.8913449817147501, 0.8971, 0.7374]","[0.8620965959328027, 0.7585, 0.8349]","[0.9170375079465989, 0.8454, 0.8881]","[0.8890655577299413, 0.8571, 0.7911]","[0.8801440329218106, 0.852, 0.7819]"
59,"[0.8784780578898226, 0.9142, 0.6993]","[0.8901161683488859, 0.8643, 0.8844]","[0.8899796830556684, 0.9158, 0.7287]","[0.862842617152962, 0.7585, 0.8365]","[0.9174666242848061, 0.8454, 0.8829]","[0.8874930109029914, 0.8877, 0.7568]","[0.8806059460821366, 0.8673, 0.7737]"
60,"[0.878828197945845, 0.8999, 0.7091]","[0.8824985717006285, 0.8473, 0.8908]","[0.8899146688338073, 0.9158, 0.7252]","[0.8617650309460654, 0.7758, 0.8205]","[0.9174507310870947, 0.8454, 0.8829]","[0.8868989376572547, 0.8673, 0.7791]","[0.8808893927941546, 0.8469, 0.7901]"
