,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: No Diagnosis Given,Diag: Autism Spectrum Disorder,Diag: Oppositional Defiant Disorder,Diag: ADHD-Combined Type
83,"[0.8706115779645192, 0.857, 0.7288]","[0.8824985717006285, 0.8473, 0.8908]","[0.8867452255180821, 0.9158, 0.7165]","[0.8687278956675508, 0.8102, 0.8061]","[0.914446916719644, 0.8636, 0.8531]","[0.8859029913335198, 0.8673, 0.7825]","[0.8825165868816662, 0.8826, 0.7572]"
84,"[0.8709850606909431, 0.857, 0.7271]","[0.8824713659983132, 0.8473, 0.8892]","[0.8880292563998374, 0.813, 0.8052]","[0.8679818744473917, 0.8102, 0.8045]","[0.914446916719644, 0.8636, 0.8531]","[0.8858855185909981, 0.8673, 0.7825]","[0.8821071638531955, 0.8928, 0.7469]"
85,"[0.8707983193277311, 0.857, 0.7222]","[0.8824985717006285, 0.8473, 0.8908]","[0.8857537586347013, 0.9158, 0.7148]","[0.8680923961096374, 0.8102, 0.8029]","[0.9143992371265098, 0.8636, 0.8531]","[0.8849944087223932, 0.8571, 0.7877]","[0.8817712270093223, 0.8571, 0.7778]"
86,"[0.869140989729225, 0.857, 0.7075]","[0.8824985717006285, 0.8473, 0.8908]","[0.8885981308411215, 0.8224, 0.8]","[0.867816091954023, 0.8102, 0.8029]","[0.9143992371265098, 0.8636, 0.8531]","[0.8849944087223932, 0.8571, 0.7877]","[0.8817292349038381, 0.8571, 0.7798]"
87,"[0.8702847805788982, 0.857, 0.7108]","[0.8824985717006285, 0.8473, 0.8908]","[0.8886468915075173, 0.8784, 0.7496]","[0.8672358532272325, 0.8102, 0.7933]","[0.9142720915448189, 0.8636, 0.8514]","[0.8852739726027397, 0.8469, 0.7962]","[0.881697740824725, 0.8622, 0.7778]"
88,"[0.8697945845004669, 0.8856, 0.6879]","[0.8824985717006285, 0.8473, 0.8908]","[0.8868752539618041, 0.813, 0.8052]","[0.8678989832007074, 0.8102, 0.7901]","[0.9133820724729816, 0.8636, 0.8496]","[0.8853438635728264, 0.8469, 0.7945]","[0.881939195431259, 0.8622, 0.7798]"
89,"[0.8700280112044818, 0.8856, 0.6879]","[0.8824985717006285, 0.8473, 0.8908]","[0.8872328321820399, 0.9158, 0.7183]","[0.8691699823165341, 0.8102, 0.7917]","[0.9133820724729816, 0.8636, 0.8496]","[0.8852914453452614, 0.8469, 0.7928]","[0.8817712270093222, 0.8622, 0.7798]"
90,"[0.8700280112044818, 0.8856, 0.6879]","[0.8824985717006285, 0.8473, 0.8908]","[0.8863551401869159, 0.9158, 0.7165]","[0.8702475685234305, 0.8102, 0.7917]","[0.9133661792752702, 0.8636, 0.8496]","[0.8852739726027397, 0.8469, 0.7928]","[0.8822436381960193, 0.8622, 0.7798]"
91,"[0.8697478991596639, 0.7571, 0.7957]","[0.8901161683488859, 0.8643, 0.8844]","[0.88630637952052, 0.9158, 0.7148]","[0.8709659593280282, 0.8102, 0.7933]","[0.9133820724729816, 0.8636, 0.8496]","[0.8852914453452614, 0.8469, 0.7928]","[0.882485092802553, 0.8622, 0.7798]"
92,"[0.8697245564892624, 0.7571, 0.7957]","[0.8824985717006285, 0.8473, 0.8908]","[0.8875416497358797, 0.8037, 0.8122]","[0.8704962422634837, 0.8102, 0.7917]","[0.9133661792752702, 0.8636, 0.8496]","[0.8846449538719597, 0.8469, 0.7911]","[0.882684555303603, 0.8316, 0.8107]"
93,"[0.869327731092437, 0.7714, 0.7843]","[0.8824713659983132, 0.8473, 0.8892]","[0.8877691995123933, 0.813, 0.8035]","[0.8702475685234305, 0.8102, 0.7933]","[0.9133820724729816, 0.8636, 0.8496]","[0.8846449538719597, 0.8469, 0.7911]","[0.8823171243806164, 0.8622, 0.7819]"
94,"[0.8682773109243698, 0.7714, 0.7778]","[0.8901161683488859, 0.8643, 0.8844]","[0.887687931735067, 0.8224, 0.7965]","[0.8693910256410257, 0.8102, 0.7917]","[0.9133820724729816, 0.8636, 0.8496]","[0.8846449538719597, 0.8469, 0.7911]","[0.8824221046443268, 0.8316, 0.8066]"
95,"[0.8683239962651728, 0.7714, 0.7778]","[0.8824985717006285, 0.8473, 0.8908]","[0.8876554246241365, 0.9158, 0.7148]","[0.8701646772767462, 0.8102, 0.7885]","[0.9133820724729816, 0.8636, 0.8496]","[0.8846449538719597, 0.8469, 0.7911]","[0.8823696145124716, 0.8622, 0.7757]"
96,"[0.8683239962651728, 0.7714, 0.7778]","[0.8824985717006285, 0.8473, 0.8908]","[0.8871515644047135, 0.9158, 0.7165]","[0.8706067639257294, 0.8102, 0.7885]","[0.9133820724729816, 0.8636, 0.8496]","[0.8846449538719597, 0.8469, 0.7911]","[0.8824116066179558, 0.8418, 0.7942]"
97,"[0.8683239962651728, 0.7714, 0.7778]","[0.8824985717006285, 0.8473, 0.8908]","[0.8879642421779764, 0.8784, 0.7478]","[0.8708554376657824, 0.8102, 0.7901]","[0.9133820724729816, 0.8636, 0.8496]","[0.8846449538719597, 0.8469, 0.7911]","[0.8827475434618293, 0.8418, 0.7942]"
98,"[0.8683239962651728, 0.7714, 0.7778]","[0.8824985717006285, 0.8473, 0.8908]","[0.887184071515644, 0.813, 0.8035]","[0.870883068081344, 0.8102, 0.7901]","[0.9135410044500953, 0.8636, 0.8496]","[0.8848022085546547, 0.8469, 0.7928]","[0.8829889980683632, 0.8469, 0.7901]"
99,"[0.8683239962651728, 0.7714, 0.7778]","[0.8824985717006285, 0.8473, 0.8908]","[0.8850386021942299, 0.9158, 0.7165]","[0.8714633068081343, 0.8102, 0.7836]","[0.913525111252384, 0.8636, 0.8496]","[0.883841207715963, 0.8673, 0.7671]","[0.8833249349122364, 0.8469, 0.7901]"
100,"[0.8683239962651728, 0.7714, 0.7778]","[0.8824985717006285, 0.8473, 0.8908]","[0.8878179601787891, 0.9158, 0.72]","[0.8714633068081343, 0.7413, 0.8574]","[0.9128099173553719, 0.8636, 0.8514]","[0.883841207715963, 0.8673, 0.7671]","[0.8829260099101369, 0.8622, 0.7798]"
