,Diag: ADHD-Inattentive Type,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: No Diagnosis Given,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Specific Phobia,Diag: Autism Spectrum Disorder,Diag: Oppositional Defiant Disorder,Diag: Language Disorder,Diag: ADHD-Combined Type,Diag: Specific Learning Disorder with Impairment in Mathematics
53,"[0.8004499181024651, 0.7536, 0.6824]","[0.8579428571428571, 0.73, 0.8069]","[0.8710019449997299, 0.8553, 0.8475]","[0.8799531771517154, 0.8636, 0.7162]","[0.7838619050191798, 0.6747, 0.7724]","[0.7077694645461111, 0.5215, 0.7643]","[0.7622359545029297, 0.6956, 0.7146]","[0.8993895317147619, 0.7707, 0.8741]","[0.8658264877459735, 0.851, 0.7302]","[0.7857429054230615, 0.708, 0.7136]","[0.860554937584971, 0.8494, 0.7241]","[0.763234088346828, 0.6818, 0.6911]"
54,"[0.7999315792747402, 0.7536, 0.6824]","[0.8575085714285714, 0.8399, 0.7463]","[0.8710019449997299, 0.8553, 0.8475]","[0.8799452678868027, 0.8636, 0.7162]","[0.7841050299854125, 0.6747, 0.7713]","[0.7047780639709991, 0.5215, 0.7668]","[0.7651533802747551, 0.7608, 0.6115]","[0.9017021475402177, 0.7898, 0.8692]","[0.8660730989676344, 0.8368, 0.7518]","[0.7860129261536853, 0.7153, 0.7124]","[0.8604879907716393, 0.8172, 0.7442]","[0.7636312391103823, 0.6818, 0.7001]"
55,"[0.8000559805933942, 0.7609, 0.6752]","[0.8574971428571428, 0.8399, 0.7463]","[0.8712113026095414, 0.8553, 0.8307]","[0.8799689956815413, 0.8636, 0.7162]","[0.7861310713706846, 0.6747, 0.787]","[0.706079561715524, 0.5323, 0.7541]","[0.7660396868383477, 0.7608, 0.6319]","[0.9017021475402177, 0.7898, 0.8692]","[0.8660730989676344, 0.8368, 0.7518]","[0.7842795672700033, 0.7153, 0.7029]","[0.860585836114201, 0.8136, 0.7442]","[0.7627088244337399, 0.6704, 0.7125]"
56,"[0.8003255167838113, 0.75, 0.6981]","[0.8583657142857143, 0.8499, 0.7371]","[0.8710019449997299, 0.8553, 0.8475]","[0.8799610864166284, 0.8636, 0.7162]","[0.7851450645631856, 0.6747, 0.787]","[0.7060931899641577, 0.5323, 0.7528]","[0.7641562853907135, 0.7608, 0.6206]","[0.9017955865634685, 0.7898, 0.8704]","[0.8669404901610627, 0.8226, 0.759]","[0.7842795672700033, 0.7153, 0.7029]","[0.8604364932229226, 0.81, 0.7471]","[0.763170031772061, 0.6818, 0.6956]"
57,"[0.8005535858680102, 0.7464, 0.6981]","[0.8596228571428571, 0.8599, 0.7257]","[0.8710019449997299, 0.8553, 0.8475]","[0.8799452678868027, 0.8636, 0.7162]","[0.7851450645631856, 0.6747, 0.787]","[0.7056434577592434, 0.5376, 0.7503]","[0.7655103648628687, 0.7608, 0.6217]","[0.9014062572999236, 0.7898, 0.8704]","[0.8671105668656565, 0.8226, 0.759]","[0.7842795672700034, 0.7153, 0.7029]","[0.8606836814567627, 0.8315, 0.7356]","[0.7631828430870145, 0.6818, 0.6922]"
58,"[0.8007712881756546, 0.7101, 0.7182]","[0.8601257142857143, 0.8499, 0.7257]","[0.8710019449997299, 0.8553, 0.8475]","[0.8793758008130724, 0.8246, 0.7406]","[0.7854287103571235, 0.5542, 0.8217]","[0.7058342532401162, 0.5215, 0.7668]","[0.7635654143483185, 0.6847, 0.7169]","[0.9009001292573154, 0.7834, 0.8716]","[0.8667789172916985, 0.8085, 0.765]","[0.7833127188474469, 0.7007, 0.716]","[0.860910270671116, 0.8423, 0.7328]","[0.7632212770318746, 0.6818, 0.7024]"
59,"[0.8006779871866642, 0.7101, 0.7282]","[0.8605485714285714, 0.8799, 0.7131]","[0.8710019449997299, 0.8553, 0.8475]","[0.8787114225603873, 0.8376, 0.7259]","[0.7856988492084932, 0.5542, 0.824]","[0.7072175204764436, 0.5376, 0.7528]","[0.7628391353587078, 0.6847, 0.7169]","[0.9014218304704654, 0.7834, 0.8704]","[0.8682585846216644, 0.8439, 0.735]","[0.7833214291935962, 0.7007, 0.716]","[0.8616106373336629, 0.8638, 0.7198]","[0.7622476170954187, 0.6818, 0.7012]"
60,"[0.8006728037983869, 0.7101, 0.7282]","[0.8603542857142857, 0.8799, 0.7166]","[0.8710019449997299, 0.8553, 0.8475]","[0.8789566097726877, 0.8441, 0.7223]","[0.787495272570101, 0.6024, 0.8105]","[0.7059092086076018, 0.5215, 0.7579]","[0.7621867152493967, 0.6847, 0.7157]","[0.9014140438851945, 0.7834, 0.8704]","[0.8677568583431128, 0.8156, 0.7614]","[0.7829120429245857, 0.781, 0.6659]","[0.8615127919911013, 0.8208, 0.7486]","[0.7634390693860817, 0.6818, 0.6979]"
61,"[0.8008905061060314, 0.7391, 0.7081]","[0.8613485714285714, 0.8699, 0.72]","[0.8710019449997299, 0.8553, 0.8475]","[0.8793441637534207, 0.8506, 0.7223]","[0.7874142309146901, 0.6024, 0.8128]","[0.7085905665262958, 0.6344, 0.6641]","[0.7661627849721798, 0.7608, 0.6172]","[0.9024029402145982, 0.7898, 0.8704]","[0.8678504005306393, 0.7872, 0.7794]","[0.7835740292319218, 0.7664, 0.6826]","[0.8614870432167429, 0.8351, 0.7442]","[0.7627985036384134, 0.6818, 0.7114]"
62,"[0.8008956894943087, 0.7391, 0.7081]","[0.8611314285714285, 0.8699, 0.72]","[0.8710019449997299, 0.8553, 0.8475]","[0.8790831580112944, 0.8506, 0.7235]","[0.7883597168944838, 0.5662, 0.8229]","[0.7066349128473499, 0.5215, 0.7604]","[0.7645501994189767, 0.7173, 0.7021]","[0.9023951536293273, 0.7898, 0.8704]","[0.8677653621783424, 0.7872, 0.7782]","[0.7835827395780708, 0.7664, 0.6826]","[0.8614818934618712, 0.8351, 0.7442]","[0.7639643332991698, 0.6818, 0.7012]"
63,"[0.8012118761792208, 0.7319, 0.7124]","[0.8626400000000001, 0.8799, 0.7017]","[0.8710019449997299, 0.8553, 0.8475]","[0.878837970798994, 0.8376, 0.7235]","[0.7880220433302718, 0.5542, 0.8229]","[0.7075445984436539, 0.6451, 0.6591]","[0.7644271012851446, 0.7282, 0.6863]","[0.9023951536293273, 0.7898, 0.8704]","[0.8675527662976004, 0.7943, 0.7782]","[0.7862045537689667, 0.8102, 0.6325]","[0.8619299221357064, 0.8351, 0.7442]","[0.7637721635748694, 0.6818, 0.7001]"
64,"[0.801217059567498, 0.7319, 0.7124]","[0.8610971428571428, 0.8799, 0.7006]","[0.8710019449997299, 0.8553, 0.8475]","[0.8791701599253365, 0.8441, 0.7223]","[0.78830568912421, 0.5542, 0.8217]","[0.7074389795167423, 0.6505, 0.6527]","[0.7651287606479885, 0.7282, 0.6886]","[0.9023951536293273, 0.7898, 0.8704]","[0.8675867816385191, 0.7943, 0.7782]","[0.7862132641151159, 0.8102, 0.6325]","[0.8620277674782681, 0.8387, 0.7371]","[0.7624269755047658, 0.6704, 0.7103]"
65,"[0.8012066927909437, 0.7319, 0.7124]","[0.8629142857142856, 0.8799, 0.6937]","[0.8710019449997299, 0.8553, 0.8475]","[0.8790040653621652, 0.8246, 0.7369]","[0.7868874601545194, 0.5301, 0.8229]","[0.7089721574880412, 0.6021, 0.6945]","[0.7682185238071789, 0.7717, 0.6206]","[0.9013206048619439, 0.8089, 0.8484]","[0.8675102471214517, 0.7943, 0.777]","[0.7892618852673206, 0.8029, 0.6313]","[0.8618063280187863, 0.8208, 0.7414]","[0.7617607871271908, 0.6704, 0.708]"
66,"[0.801092658248844, 0.7427, 0.711]","[0.8626971428571428, 0.8799, 0.6789]","[0.8710019449997299, 0.8553, 0.8475]","[0.8789012449182974, 0.8246, 0.7357]","[0.7866578421308551, 0.5301, 0.824]","[0.710805156929283, 0.6075, 0.6907]","[0.7636023437884681, 0.6847, 0.7259]","[0.9009234890131281, 0.7898, 0.8704]","[0.8670340323485892, 0.8014, 0.7662]","[0.7899325819208055, 0.7737, 0.6873]","[0.8624809459069748, 0.8279, 0.7399]","[0.7633365788664548, 0.6931, 0.7024]"
67,"[0.8010149074246854, 0.7645, 0.6738]","[0.8620685714285714, 0.8799, 0.6914]","[0.8710019449997299, 0.8553, 0.8475]","[0.8789091541832103, 0.8441, 0.7247]","[0.7868874601545195, 0.6385, 0.7859]","[0.7100283467571582, 0.6021, 0.6844]","[0.7624698409572112, 0.7499, 0.6478]","[0.9005107999937707, 0.7834, 0.8716]","[0.8670340323485892, 0.8014, 0.7662]","[0.7899935543438495, 0.7956, 0.6527]","[0.8629032258064516, 0.8674, 0.7098]","[0.762888182843087, 0.6818, 0.7035]"
68,"[0.8010149074246854, 0.7645, 0.6738]","[0.8617371428571429, 0.8799, 0.704]","[0.8710019449997299, 0.8553, 0.8475]","[0.878830061534081, 0.8636, 0.715]","[0.7869820087524988, 0.6385, 0.7836]","[0.7123110784033144, 0.6075, 0.6857]","[0.7631591905066719, 0.7499, 0.6365]","[0.9002772024356439, 0.7834, 0.8716]","[0.8670255285133595, 0.8014, 0.7662]","[0.7903593888821141, 0.7956, 0.6289]","[0.863098916491575, 0.8243, 0.7471]","[0.76525827610946, 0.6704, 0.7148]"
69,"[0.8011911426261118, 0.7319, 0.7153]","[0.8615314285714285, 0.8799, 0.704]","[0.8710019449997299, 0.8553, 0.8475]","[0.878553237262129, 0.8636, 0.7138]","[0.7878464530768814, 0.6385, 0.787]","[0.7103656459108441, 0.6075, 0.6869]","[0.7623467428233788, 0.7282, 0.6512]","[0.9002616292651021, 0.7834, 0.8716]","[0.8670595438542783, 0.7943, 0.7674]","[0.7903593888821141, 0.7956, 0.6289]","[0.8634902978618217, 0.8208, 0.7529]","[0.7653479553141335, 0.6704, 0.7091]"
70,"[0.8011859592378346, 0.7319, 0.7153]","[0.8636914285714287, 0.8799, 0.704]","[0.8710019449997299, 0.8553, 0.8475]","[0.8785532372621289, 0.7662, 0.7844]","[0.7879680155599977, 0.6385, 0.787]","[0.7132854981806289, 0.6344, 0.6553]","[0.762740656851642, 0.7499, 0.624]","[0.9004251475557908, 0.7898, 0.8692]","[0.8676633161555861, 0.7872, 0.771]","[0.7902113129975786, 0.7956, 0.6325]","[0.8635829934495118, 0.8208, 0.7514]","[0.7639258993543098, 0.6818, 0.7012]"
71,"[0.8010978416371213, 0.7319, 0.7139]","[0.8636914285714287, 0.8799, 0.704]","[0.8710019449997299, 0.8553, 0.8475]","[0.8789882468323394, 0.8636, 0.7138]","[0.7891566265060241, 0.6385, 0.7859]","[0.7192887417038035, 0.672, 0.6362]","[0.7600078782805652, 0.7065, 0.7067]","[0.9004251475557908, 0.7898, 0.8692]","[0.8676803238260455, 0.7943, 0.7662]","[0.7902026026514294, 0.7956, 0.6325]","[0.8633152061961851, 0.81, 0.7557]","[0.7613764476785896, 0.6704, 0.7069]"
72,"[0.8010252742012399, 0.7319, 0.7167]","[0.8625485714285714, 0.8799, 0.6971]","[0.8707182992057918, 0.8553, 0.8397]","[0.8789803375674264, 0.7662, 0.7917]","[0.7884137446647577, 0.6385, 0.7892]","[0.7181167123212996, 0.6236, 0.6882]","[0.7578290413117338, 0.7065, 0.6761]","[0.9008534097456902, 0.7707, 0.8777]","[0.8679014235420175, 0.7943, 0.7662]","[0.7902287336898768, 0.7956, 0.6325]","[0.8634182012936185, 0.8602, 0.7126]","[0.7624397868197192, 0.6818, 0.6945]"
73,"[0.8010045406481308, 0.7319, 0.7153]","[0.8625485714285714, 0.8799, 0.6971]","[0.8710019449997299, 0.8553, 0.8475]","[0.8789724283025135, 0.8636, 0.7138]","[0.7885353071478741, 0.6385, 0.7881]","[0.7197180315357674, 0.6774, 0.6324]","[0.7599217095868827, 0.7499, 0.6217]","[0.9008534097456902, 0.7707, 0.8777]","[0.867858904365869, 0.8014, 0.7614]","[0.7902374440360259, 0.7956, 0.6325]","[0.8634748485972069, 0.8494, 0.7241]","[0.7653223326842268, 0.6704, 0.7136]"
