,Diag: Enuresis,Diag: Oppositional Defiant Disorder,Diag: Generalized Anxiety Disorder,Diag: Autism Spectrum Disorder,Diag: No Diagnosis Given,Diag: ADHD-Combined Type,Diag: Social Anxiety (Social Phobia)
44,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8102,0.7836","0.7551,0.7695","0.6999,0.7925"
43,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8261","0.8908,0.8164","0.8102,0.782","0.7551,0.7654","0.6999,0.7925"
42,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8102,0.782","0.7551,0.7716","0.6999,0.7925"
41,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8102,0.782","0.8571,0.6769","0.6999,0.7925"
40,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8102,0.7772","0.8622,0.6749","0.6999,0.7925"
39,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8261","0.8908,0.8164","0.793,0.7868","0.8571,0.679","0.6999,0.7925"
38,"0.8473,0.8973","0.8877,0.7277","0.7943,0.8296","0.8908,0.8164","0.8102,0.774","0.8571,0.6831","0.6999,0.7925"
37,"0.8473,0.8908","0.8877,0.7277","0.785,0.8365","0.8908,0.8164","0.8102,0.774","0.8571,0.6811","0.6999,0.7925"
36,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8296","0.8908,0.8164","0.8102,0.7724","0.8571,0.6769","0.6999,0.7925"
35,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8261","0.8908,0.8164","0.793,0.7885","0.852,0.6769","0.6999,0.7925"
34,"0.8473,0.8908","0.8877,0.7277","0.7943,0.833","0.8908,0.8164","0.8275,0.75","0.852,0.6769","0.6999,0.7925"
33,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8275,0.7468","0.852,0.679","0.6999,0.7925"
32,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8102,0.758","0.852,0.6769","0.6999,0.7925"
31,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8313","0.8908,0.8164","0.8275,0.7532","0.8469,0.6811","0.6999,0.7925"
30,"0.8473,0.8908","0.8877,0.7277","0.8037,0.8174","0.8908,0.8164","0.8102,0.7612","0.8418,0.6893","0.6999,0.7892"
29,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8313","0.8908,0.8164","0.8102,0.7612","0.8418,0.6914","0.6999,0.7892"
28,"0.8473,0.8908","0.8877,0.7277","0.785,0.8365","0.8908,0.8164","0.8102,0.7612","0.8367,0.6955","0.6999,0.7925"
27,"0.8473,0.8908","0.8877,0.7277","0.7943,0.833","0.8908,0.8164","0.8102,0.7612","0.8112,0.7119","0.6999,0.7974"
26,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8102,0.7596","0.8163,0.7078","0.6999,0.7925"
25,"0.8473,0.894","0.8877,0.7277","0.785,0.8365","0.8908,0.8164","0.8102,0.7596","0.8112,0.7202","0.7142,0.7925"
24,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8348","0.8908,0.8164","0.8275,0.7596","0.7959,0.7222","0.7142,0.7876"
23,"0.8473,0.8908","0.8877,0.7312","0.7943,0.833","0.8908,0.8164","0.8275,0.758","0.8418,0.6852","0.7142,0.7876"
22,"0.8473,0.8908","0.8877,0.7312","0.7943,0.833","0.8545,0.8496","0.8275,0.758","0.8418,0.6831","0.7142,0.781"
21,"0.8473,0.8908","0.8775,0.7449","0.785,0.8365","0.8272,0.8829","0.8275,0.758","0.8418,0.6831","0.7142,0.7778"
20,"0.8473,0.8908","0.8775,0.7431","0.7943,0.8278","0.8363,0.8671","0.8275,0.758","0.8112,0.714","0.7142,0.7843"
19,"0.8473,0.8908","0.8469,0.7603","0.8037,0.8191","0.8817,0.8304","0.8275,0.758","0.8112,0.716","0.7142,0.768"
18,"0.8473,0.8908","0.9183,0.6849","0.8037,0.8174","0.8454,0.8636","0.8275,0.7564","0.8163,0.714","0.857,0.6503"
17,"0.8473,0.8908","0.8469,0.7329","0.8037,0.8209","0.8454,0.8566","0.8275,0.7548","0.8112,0.7202","0.857,0.6405"
16,"0.8473,0.8908","0.7448,0.8356","0.7943,0.8313","0.8272,0.8671","0.8275,0.7532","0.8112,0.7222","0.7571,0.7189"
15,"0.8473,0.8908","0.7653,0.8151","0.8037,0.8156","0.8363,0.8601","0.8275,0.7516","0.8112,0.7325","0.7285,0.7467"
14,"0.8473,0.8908","0.8163,0.7603","0.7943,0.8348","0.8272,0.8741","0.8275,0.75","0.8214,0.7243","0.7856,0.6797"
13,"0.8473,0.8908","0.8163,0.762","0.8037,0.7965","0.8272,0.8671","0.8275,0.7468","0.8265,0.7099","0.7142,0.7484"
12,"0.8473,0.8908","0.8061,0.7637","0.8317,0.7722","0.8272,0.8881","0.8275,0.7468","0.8214,0.7304","0.6857,0.7859"
11,"0.8473,0.8908","0.8163,0.7534","0.8224,0.7756","0.8272,0.8619","0.8275,0.7324","0.8418,0.7099","0.7999,0.6601"
10,"0.8473,0.8908","0.8163,0.7534","0.8224,0.7791","0.7999,0.8829","0.7758,0.7564","0.852,0.6914","0.7428,0.7238"
9,"0.8473,0.8908","0.8061,0.7586","0.8224,0.7669","0.7999,0.8514","0.7758,0.7532","0.8469,0.6914","0.6571,0.8235"
8,"0.8473,0.9069","0.8061,0.7586","0.7943,0.7913","0.8181,0.8409","0.8447,0.6827","0.7551,0.7695","0.6428,0.848"
7,"0.8473,0.8908","0.8367,0.7654","0.8224,0.7461","0.7999,0.8549","0.793,0.726","0.7653,0.7716","0.8142,0.6503"
6,"0.8473,0.8908","0.8469,0.7346","0.7756,0.7774","0.7999,0.8584","0.793,0.7131","0.9132,0.6193","0.7142,0.7663"
5,"0.8473,0.8908","0.8265,0.7363","0.7476,0.793","0.7818,0.8584","0.793,0.7003","0.7755,0.7304","0.7428,0.7549"
4,"0.8473,0.8908","0.8265,0.7329","0.8411,0.7113","0.7727,0.8496","0.6724,0.8189","0.8571,0.6584","0.6857,0.8448"
3,"0.8473,0.8908","0.8571,0.7089","0.7943,0.7356","0.8181,0.7919","0.8102,0.6811","0.7143,0.7654","0.7999,0.7484"
2,"0.8304,0.9069","0.8367,0.6455","0.7943,0.7113","0.7545,0.8094","0.6551,0.7949","0.7092,0.7469","0.8856,0.5621"
1,"0.661,0.9406","0.9795,0.4401","0.8411,0.6348","0.8636,0.6084","0.8102,0.657","0.801,0.6255","0.6857,0.6569"
